shock_type,candidate_windows,first_anchor_year,last_anchor_year,shock_families,source_urls
market rule episode,1,1980,1980,Silver market rule shock,https://www.cftc.gov/About/HistoryoftheCFTC/history_1980s.html; https://www.cftc.gov/PressRoom/SpeechesTestimony/metalmarkets032510_berkovitz
commodity derivative availability,5,1983,1990,Petroleum market opening and crude futures; Refined petroleum product futures and spreads; Agriculture/food options and contract extensions; Metals futures/options availability; Natural gas futures and pipeline unbundling,https://www.cftc.gov/sites/default/files/opa/speeches/opadial-69.htm; https://www.cmegroup.com/articles/2023/natural-gas-from-pipelines-to-portfolios.html; https://www.cmegroup.com/media-room/historical-first-trade-dates.html; https://www.cmegroup.com/openmarkets/energy/2023/how-wti-became-the-most-important-commodity-contract-on-the-planet.html; https://www.ferc.gov/order-no-636-restructuring-pipeline-services; https://www.presidency.ucsb.edu/documents/executive-order-12287-decontrol-crude-oil-and-refined-petroleum-products
freight derivative availability,1,1985,1985,Freight and shipping derivatives,https://www.balticexchange.com/en/who-we-are/history/baltic-timeline/1980-1992.html; https://www.cmegroup.com/markets/energy/freight.html
power derivative availability,7,1996,2012,Western power futures: COB and Palo Verde; Eastern Interconnection power futures: Cinergy and Entergy; PJM exchange-traded electricity futures; Western hub expansion: Mid-Columbia; Cleared nodal power contracts; Financially settled power swap futures expansion; Short-dated daily power contracts,https://investor.cmegroup.com/news-releases/news-release-details/cme-group-announces-launch-new-pjm-iso-electricity-futures; https://www.caiso.com/documents/fercstaffreportel00-95-3.pdf; https://www.cftc.gov/sites/default/files/files/anr/anr1999_futures_by_exchange.pdf; https://www.cftc.gov/sites/default/files/opa/speeches/opadial-69.htm; https://www.cmegroup.com/media-room/press-releases/2005/2/09/exchange_to_launchelevennewfinanciallysettledelectricityfuturesc.html; https://www.cmegroup.com/media-room/press-releases/2006/1/17/exchange_to_delistphysicallysettledelectricitycontractsonnymexcl.html; https://www.cmegroup.com/media-room/press-releases/2012/9/10/cme_group_launchesnewnaturalgasandpowermarkets.html; https://www.cmegroup.com/tools-information/lookups/advisories/market-regulation/SER-4999.html; https://www.cmegroup.com/tools-information/lookups/advisories/market-regulation/SER-6378.html; https://www.ferc.gov/sites/default/files/2020-05/mastback.pdf; https://www.nodalexchange.com/lch-clearnet-and-nodal-exchange-launch-service-for-nodal-power-contracts/; https://www.nodalexchange.com/nodal-exchange-receives-cftc-approval-to-register-as-a-designated-contract-market/
power market design,3,1998,2010,"PJM bid-based, LMP, and market-based energy-market transition; MISO day-ahead and real-time energy markets; ERCOT nodal market",https://www.ercot.com/files/docs/2011/04/26/ercot_2010_financial_statements.pdf; https://www.ferc.gov/industries-data/electric/electric-power-markets/miso; https://www.monitoringanalytics.com/reports/PJM_State_of_the_Market/1999/state-of-the-market-report-1999.pdf; https://www.pjm.com/about-pjm/who-we-are/pjm-history.aspx
weather risk derivative availability,1,1999,1999,Weather derivatives,https://www.cmegroup.com/articles/2023/cme-group-weather-suite-expanded.html
capacity market design,1,2007,2007,PJM Reliability Pricing Model capacity market,https://www.pjm.com/-/media/DotCom/Images/ctc-display/modules/timeline/2007-first-annual-pdf.ashx
environmental/compliance market,2,2011,2013,California carbon allowances; Renewable Identification Number credits,https://investor.cmegroup.com/news-releases/news-release-details/cme-group-announces-new-futures-contracts-renewable; https://www.epa.gov/renewable-fuel-standard/renewable-fuel-standard-rfs2-final-rule; https://www.epa.gov/renewable-fuel-standard/renewable-identification-numbers-rins-under-renewable-fuel-standard-program; https://www.prnewswire.com/news-releases/ice-announces-first-trade-of-california-emissions-contract-128580553.html
regional power market expansion,3,2013,2014,MISO South integration; SPP Integrated Marketplace; CAISO / Western Energy Imbalance Market,https://www.caiso.com/documents/californiaiso_pacificorplaunchfirstwesternenergymarket.pdf; https://www.eia.gov/todayinenergy/detail.cfm?id=13511; https://www.ferc.gov/industries-data/electric/electric-power-markets/caiso; https://www.ferc.gov/industries-data/electric/electric-power-markets/miso; https://www.spp.org/markets-operations/; https://www.spp.org/news-list/spp-marks-a-decade-of-integrated-marketplace-and-more-than-102-billion-in-savings/
policy/market access,2,2015,2016,U.S. crude export reopening; U.S. LNG export opening,https://www.eia.gov/TODAYINENERGY/detail.php?id=67224; https://www.eia.gov/dnav/pet/pet_move_exp_a_epc0_eex_mbbl_a.htm; https://www.gao.gov/products/gao-21-118
event shock,1,2020,2020,WTI storage/futures dislocation,https://www.cftc.gov/PressRoom/PressReleases/8315-20; https://www.eia.gov/todayinenergy/detail.php?id=43495
