decade,stype,rows,firms,margin_ready_pct,allocation_ready_pct,sales_rows,ops_rows,capxs_rows
1970s,BUSSEG,38283,6054,93.6,75.0,38194,35929,29046
1970s,GEOSEG,32756,6027,25.6,7.1,30587,9899,2390
1980s,BUSSEG,111908,11297,97.3,92.1,111298,110673,103675
1980s,GEOSEG,139593,11282,22.1,6.7,132006,37389,9488
1990s,BUSSEG,135536,14446,91.5,84.4,134589,128707,118748
1990s,GEOSEG,185671,13752,26.6,5.9,176888,53794,11891
1990s,OPSEG,2955,417,51.8,35.6,2945,1757,1860
1990s,STSEG,169,28,58.0,17.8,169,104,75
2000s,BUSSEG,173910,12741,62.3,56.3,172630,126115,125096
2000s,GEOSEG,163364,10429,26.1,20.1,158042,45636,43182
2000s,OPSEG,29757,1059,55.5,39.4,29337,19022,18925
2000s,STSEG,1409,55,59.6,28.1,1379,935,813
2010s,BUSSEG,140830,10640,62.4,55.1,137825,104334,98319
2010s,GEOSEG,154073,8093,19.5,16.7,140785,31484,32036
2010s,OPSEG,32799,862,58.5,38.1,31123,21978,20896
2010s,STSEG,540,26,37.8,30.7,528,233,403
2020s,BUSSEG,73717,7714,61.4,51.4,72655,53816,48775
2020s,GEOSEG,81745,5800,16.3,13.8,75059,13795,14988
2020s,OPSEG,14189,521,56.6,32.2,13832,9213,8740
2020s,STSEG,213,7,15.5,16.9,213,36,151
