exposure_family,rows,firms,firm_years,min_year,max_year,margin_ready_pct,allocation_ready_pct,busseg_rows,opseg_rows
broader_energy,80555,3992,46248,1976,2026,77.2,72.0,70642,9913
chemicals,54482,3443,36693,1976,2026,71.3,74.9,50487,3995
metals_mining,60711,3403,35908,1976,2026,72.1,74.2,49601,11110
oil_gas_petroleum,47669,2808,31291,1976,2025,80.7,75.9,42666,5003
electric_power_output,34219,1482,19568,1976,2026,74.6,67.9,29643,4576
transport_freight,21904,1336,13532,1976,2025,80.8,70.6,19448,2456
agriculture_food,21082,1171,12008,1976,2026,80.2,68.0,17425,3657
gas_utility,11815,660,8649,1976,2025,79.4,75.4,10868,947
cement_minerals,10646,1007,8438,1976,2026,73.2,81.7,10018,628
paper_pulp,9275,501,5438,1976,2025,87.0,78.1,8789,486
airlines_fuel_sensitive,7049,570,5102,1976,2025,82.5,74.3,6156,893
