segment_name,rows
[missing segment name],306729
United States,122102
Europe,22309
Canada,19947
Other,14664
United Kingdom,11436
North America,10802
Domestic,9961
China,9194
International,8442
No Foreign Areas Reported,8326
Japan,8139
Asia,7504
Germany,7328
Asia Pacific,5926
Mexico,5092
Foreign,4851
Americas,4765
Australia,4401
France,4330
Brazil,3926
Other Foreign,3919
Latin America,3817
Cayman Islands,3693
Eliminations,3608
Rest of World,3298
Other Countries,3277
Israel,3093
EMEA,2836
Taiwan,2539
Italy,2461
South America,2423
Singapore,2389
India,2370
Others,1887
Netherlands,1790
Corporate,1717
Asia-Pacific,1711
Switzerland,1685
Hong Kong,1663
