shock,treatment,outcome,baseline_p05,baseline_sign_consistency,event_study_pre_p_lt_10,event_study_pre_max_abs_t,event_study_post_p_lt_10,event_study_post_median_beta,placebo_p_lt_10,placebo_min_p,loo_p_lt_05,loo_min_abs_t,loo_sign_consistency,firm_drilldown_pass
EU_ETS_2005,pre_energy_any,log_nseg,3,1.0,4,12.93100037478622,6,0.06010208948967177,3,0.03830856257022397,11,3.929323466459646,1.0,False
EU_ETS_2005,pre_energy_any,multi_seg,3,1.0,4,5.17044917858373,2,0.007371954299336873,3,7.71739769866997e-08,11,3.127024491836436,1.0,False
FERC636_1992,pre_energy_share_z,hhi,3,1.0,4,5.510516972675818,1,0.0006857597626345512,3,6.82617540270769e-09,11,4.505789572434578,1.0,False
FERC636_1992,pre_energy_share_z,n_op_seg,3,1.0,1,2.4138019917882727,5,0.02314328278082406,3,3.014255239852659e-06,11,3.3361821142773582,1.0,False
GAS_SPIKE_2001,pre_energy_any,multi_seg,3,1.0,4,5.926835242959238,1,-0.006593344925876359,2,1.478428037882118e-05,11,5.025098986307568,1.0,False
GAS_SPIKE_2001,pre_energy_share_z,multi_seg,3,1.0,3,4.087631032735196,3,-0.004903436509341023,1,0.0164932759433829,11,3.7574625410927367,1.0,False
NATGAS_1990,pre_energy_share_z,hhi,3,1.0,2,5.554511850631127,6,-0.007835682882921394,2,1.061747833475124e-05,11,5.745677149961556,1.0,False
NATGAS_1990,pre_energy_share_z,log_nseg,3,1.0,3,8.58947923382347,1,0.0032570402289154063,3,1.7425589766695282e-06,11,3.4719922431013965,1.0,False
NATGAS_1990,pre_energy_share_z,n_op_seg,3,1.0,3,5.60355368713664,3,0.013815377998266869,3,3.014255239852659e-06,11,3.2985613799292306,1.0,False
OIL_COLLAPSE_1986,pre_oilgas_share_z,hhi,3,1.0,4,8.34908368507346,6,0.021274999206130074,0,0.31298202153948695,11,2.729015549661613,1.0,False
OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,3,1.0,4,6.395268439335224,6,0.0387831258935423,0,0.5377475603096096,11,3.9933771114757746,1.0,False
OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,3,1.0,4,4.029864550017991,6,0.07194653317669679,0,0.4839874962552124,11,3.652915647431835,1.0,False
